Year/年/年,Month/月/月,Day/日/日,Hour/時/时,Minute/分/分,Second/秒/秒,TimeZone/時區/时区,Height(m)/高度(米)/高度(米)
2024,1,1,7,8,,UTC+8,0.68
2024,1,1,14,27,,UTC+8,1.47
2024,1,1,16,49,,UTC+8,1.4
2024,1,1,23,8,,UTC+8,2.12
2024,1,2,7,41,,UTC+8,0.77
2024,1,2,15,11,,UTC+8,1.52
2024,1,2,18,3,,UTC+8,1.45
2024,1,2,23,40,,UTC+8,1.96
2024,1,3,8,15,,UTC+8,0.87
2024,1,3,15,54,,UTC+8,1.59
2024,1,3,19,18,,UTC+8,1.49
2024,1,4,0,17,,UTC+8,1.79
2024,1,4,8,50,,UTC+8,0.97
2024,1,4,16,26,,UTC+8,1.69
2024,1,4,21,7,,UTC+8,1.48
2024,1,5,1,3,,UTC+8,1.58
2024,1,5,9,27,,UTC+8,1.06
2024,1,5,16,52,,UTC+8,1.82
2024,1,6,10,5,,UTC+8,1.15
2024,1,6,17,19,,UTC+8,1.95
2024,1,7,1,23,,UTC+8,1.14
2024,1,7,7,11,,UTC+8,1.35
2024,1,7,10,43,,UTC+8,1.22
2024,1,7,17,49,,UTC+8,2.11
2024,1,8,1,58,,UTC+8,0.91
2024,1,8,8,28,,UTC+8,1.37
2024,1,8,11,24,,UTC+8,1.28
2024,1,8,18,21,,UTC+8,2.26
2024,1,9,2,32,,UTC+8,0.7
2024,1,9,9,29,,UTC+8,1.41
2024,1,9,12,6,,UTC+8,1.31
2024,1,9,18,58,,UTC+8,2.41
2024,1,10,3,8,,UTC+8,0.51
2024,1,10,10,17,,UTC+8,1.44
2024,1,10,13,0,,UTC+8,1.32
2024,1,10,19,43,,UTC+8,2.54
2024,1,11,3,47,,UTC+8,0.37
2024,1,11,10,58,,UTC+8,1.45
2024,1,11,13,40,,UTC+8,1.31
2024,1,11,20,36,,UTC+8,2.63
2024,1,12,4,28,,UTC+8,0.29
2024,1,12,11,37,,UTC+8,1.46
2024,1,12,14,37,,UTC+8,1.27
2024,1,12,21,33,,UTC+8,2.68
2024,1,13,5,7,,UTC+8,0.28
2024,1,13,12,16,,UTC+8,1.48
2024,1,13,15,36,,UTC+8,1.23
2024,1,13,22,28,,UTC+8,2.65
2024,1,14,5,46,,UTC+8,0.34
2024,1,14,12,56,,UTC+8,1.51
2024,1,14,16,32,,UTC+8,1.2
2024,1,14,23,22,,UTC+8,2.55
2024,1,15,6,23,,UTC+8,0.45
2024,1,15,13,39,,UTC+8,1.57
2024,1,15,17,28,,UTC+8,1.19
2024,1,16,0,15,,UTC+8,2.37
2024,1,16,6,58,,UTC+8,0.6
2024,1,16,14,24,,UTC+8,1.65
2024,1,16,18,26,,UTC+8,1.2
2024,1,17,1,11,,UTC+8,2.12
2024,1,17,7,33,,UTC+8,0.76
2024,1,17,15,12,,UTC+8,1.75
2024,1,17,19,32,,UTC+8,1.23
2024,1,18,2,20,,UTC+8,1.83
2024,1,18,8,8,,UTC+8,0.93
2024,1,18,16,2,,UTC+8,1.87
2024,1,18,21,8,,UTC+8,1.22
2024,1,19,3,54,,UTC+8,1.56
2024,1,19,8,42,,UTC+8,1.08
2024,1,19,16,53,,UTC+8,1.98
2024,1,19,23,1,,UTC+8,1.11
2024,1,20,5,38,,UTC+8,1.37
2024,1,20,9,16,,UTC+8,1.21
2024,1,20,17,42,,UTC+8,2.09
2024,1,21,0,56,,UTC+8,0.92
2024,1,21,18,28,,UTC+8,2.19
2024,1,22,2,6,,UTC+8,0.73
2024,1,22,19,9,,UTC+8,2.27
2024,1,23,2,45,,UTC+8,0.57
2024,1,23,19,48,,UTC+8,2.33
2024,1,24,3,22,,UTC+8,0.47
2024,1,24,20,24,,UTC+8,2.36
